Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y,frequency (inv_wM3=5e-06) X,frequency (inv_wM3=5e-06) Y,frequency (inv_wM3=1e-05) X,frequency (inv_wM3=1e-05) Y,frequency (inv_wM3=1.5e-05) X,frequency (inv_wM3=1.5e-05) Y,frequency (inv_wM3=2e-05) X,frequency (inv_wM3=2e-05) Y,frequency (inv_wM3=2.5e-05) X,frequency (inv_wM3=2.5e-05) Y,frequency (inv_wM3=3e-05) X,frequency (inv_wM3=3e-05) Y,frequency (inv_wM3=3.5e-05) X,frequency (inv_wM3=3.5e-05) Y,frequency (inv_wM3=4e-05) X,frequency (inv_wM3=4e-05) Y,frequency (inv_wM3=4.5e-05) X,frequency (inv_wM3=4.5e-05) Y,frequency (inv_wM3=5e-05) X,frequency (inv_wM3=5e-05) Y
2.922227934297051e-06,0.001337190302720449,2.498658471620525e-06,0.001651307931659027,2.821962787886095e-06,0.001753668213640106,2.746496730709574e-06,0.00182559131887203,2.85810651643865e-06,0.001883791408923261,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.922227934297051e-06,2.962961127276009,2.498658471620525e-06,0.0377620583189506,2.821962787886095e-06,3.001537643445301,2.746496730709574e-06,0.01212440643180114,2.85810651643865e-06,3.001013277591886,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.925976231841237e-06,0.001359712125998621,2.503428022699159e-06,0.001631263076799074,2.82537236182803e-06,0.0017408287153456,2.75051938858946e-06,0.001842793452733421,2.859128208877884e-06,0.001885799968138807,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.925976231841237e-06,2.981221942383467,2.503428022699159e-06,0.02870224890853584,2.82537236182803e-06,3.001494504154307,2.75051938858946e-06,0.01070887043247085,2.859128208877884e-06,3.001006623966336,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.930405084558281e-06,0.00137711553653328,2.507200177377394e-06,0.001604274690434762,2.829026830778447e-06,0.001721917879910686,2.755986162021283e-06,0.001841474666093052,2.861171593756351e-06,0.001887391321208825,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.930405084558281e-06,2.994462423264692,2.507200177377394e-06,0.02394978891014782,2.829026830778447e-06,3.001450348179797,2.755986162021283e-06,0.009082928666309147,2.861171593756351e-06,3.000993507209148,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.935344677737151e-06,0.001371263288893813,2.510834305915121e-06,0.0015807940882136,2.833898052893282e-06,0.001697456100092584,2.76004919341748e-06,0.00183931667680457,2.86438556267883e-06,0.001885305980075257,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.935344677737151e-06,3.002359988216204,2.510834305915121e-06,0.02104969562613824,2.833898052893282e-06,3.001394600418887,2.76004919341748e-06,0.008071989332893771,2.86438556267883e-06,3.000973386910105,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.939917189409496e-06,0.001346480280258646,2.51430485230594e-06,0.001570236666239516,2.837749796709808e-06,0.001697870950498624,2.763636186214191e-06,0.001841835426738624,2.867968497293099e-06,0.001885368171804563,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.939917189409496e-06,3.005840944533159,2.51430485230594e-06,0.01875602011985661,2.837749796709808e-06,3.00135286920846,2.763636186214191e-06,0.007298867290859709,2.867968497293099e-06,3.00095172855725,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.944164868223603e-06,0.001326546745471328,2.517666997010372e-06,0.001577961658850752,2.84143701064617e-06,0.001716554761490185,2.766991022156252e-06,0.00184148567338708,2.871481030027299e-06,0.001892453686094096,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.944164868223603e-06,3.007176749928767,2.517666997010372e-06,0.0175900973241533,2.84143701064617e-06,3.001314727061539,2.766991022156252e-06,0.006666396155202588,2.871481030027299e-06,3.0009311963783,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.948027923392151e-06,0.001328100606177821,2.521235834739841e-06,0.001601893263204946,2.845376990589863e-06,0.001749086510151332,2.771465804537401e-06,0.001825176566703638,2.874714478321917e-06,0.001900541239285913,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.948027923392151e-06,3.007546386166573,2.521235834739841e-06,0.01675533387095717,2.845376990589863e-06,3.001275788006435,2.771465804537401e-06,0.005945170404232502,2.874714478321917e-06,3.000912925194174,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.95220639179242e-06,0.0013519458183298,2.525053481993443e-06,0.00163275526326493,2.848846239628445e-06,0.001769936152953441,2.776350666975134e-06,0.001791991625453116,2.879035718209822e-06,0.001903417021845216,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.95220639179242e-06,3.007461849113467,2.525053481993443e-06,0.01463149638652156,2.848846239628445e-06,3.001242971763402,2.776350666975134e-06,0.005293988159475093,2.879035718209822e-06,3.00088920489069,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.956313712820443e-06,0.001373415135100365,2.528161887387909e-06,0.001649027583145319,2.853466692710905e-06,0.001774940129067211,2.780599981843928e-06,0.00176577653793806,2.883230567693689e-06,0.001889853103564157,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.956313712820443e-06,3.007136901472577,2.528161887387909e-06,0.01313229973066828,2.853466692710905e-06,3.001201255248398,2.780599981843928e-06,0.004826865062563142,2.883230567693689e-06,3.000867169020562,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.960376368744473e-06,0.001378468000663961,2.532854711849506e-06,0.001648299448428849,2.857755910001074e-06,0.001764458356979852,2.784837256622297e-06,0.001763503953731389,2.887740694754717e-06,0.001858142559289624,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.960376368744473e-06,3.006718249825668,2.532854711849506e-06,0.01120668277039045,2.857755910001074e-06,3.001164445838973,2.784837256622297e-06,0.004442284873892192,2.887740694754717e-06,3.000844355869732,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
