Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y,freq (inv_wM3=5e-06) X,freq (inv_wM3=5e-06) Y,freq (inv_wM3=1e-05) X,freq (inv_wM3=1e-05) Y,freq (inv_wM3=1.5e-05) X,freq (inv_wM3=1.5e-05) Y,freq (inv_wM3=2e-05) X,freq (inv_wM3=2e-05) Y,freq (inv_wM3=2.5e-05) X,freq (inv_wM3=2.5e-05) Y,freq (inv_wM3=3e-05) X,freq (inv_wM3=3e-05) Y,freq (inv_wM3=3.5e-05) X,freq (inv_wM3=3.5e-05) Y,freq (inv_wM3=4e-05) X,freq (inv_wM3=4e-05) Y,freq (inv_wM3=4.5e-05) X,freq (inv_wM3=4.5e-05) Y,freq (inv_wM3=5e-05) X,freq (inv_wM3=5e-05) Y
1.302571832177379e-06,0.0009436257637464859,1.643734521228318e-06,0.001079162988379065,2.049014216577606e-06,0.001122814458775325,2.569932109937921e-06,0.0009976793460638492,2.525331256967409e-06,0.001144242490651073,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.302571832177379e-06,0.009257647053064933,1.643734521228318e-06,2.998409463258142,2.049014216577606e-06,-0.04493171485596337,2.569932109937921e-06,0.001501411096839309,2.525331256967409e-06,2.982331314912624,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.303179787349058e-06,0.0009426770951894776,1.644938204821125e-06,0.001103062222399012,2.050311034087795e-06,0.001101333589693781,2.572499415088204e-06,0.001003356598443711,2.527023969097131e-06,0.001145705491684201,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.303179787349058e-06,0.008815157895745602,1.644938204821125e-06,2.997612349987415,2.050311034087795e-06,-0.05849332468795636,2.572499415088204e-06,-6.230489550246842e-05,2.527023969097131e-06,2.987227477466996,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.304074427434217e-06,0.0009526750035442454,1.645416573595468e-06,0.001104511576097076,2.051184067615998e-06,0.001086018967065313,2.574342540508879e-06,0.001034226521488115,2.528665352601394e-06,0.001126429626911207,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.304074427434217e-06,0.008346831537112869,1.645416573595468e-06,2.997162197796897,2.051184067615998e-06,-0.06206428079891802,2.574342540508879e-06,-0.002760763844256206,2.528665352601394e-06,2.990633427305095,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.304947031719241e-06,0.0009795475027482626,1.646373311144155e-06,0.001094363212092751,2.05214370148982e-06,0.001074633544079578,2.576221668422497e-06,0.001091366255809318,2.529701614353151e-06,0.001111488363890231,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.304947031719241e-06,0.008013984373106488,1.646373311144155e-06,2.99605429038111,2.05214370148982e-06,-0.06705244898712448,2.576221668422497e-06,-0.008136650539354995,2.529701614353151e-06,2.992399251234775,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.305910392015222e-06,0.001016009434095427,1.647491582525348e-06,0.001069413955715642,2.052912859452297e-06,0.00106756530287617,2.577770010351774e-06,0.001128819648672314,2.530626987755938e-06,0.001102243564506726,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.305910392015222e-06,0.007666584904805748,1.647491582525348e-06,2.996003800203333,2.052912859452297e-06,-0.07171851682967399,2.577770010351774e-06,-0.01546458706334595,2.530626987755938e-06,2.994001396974405,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.306956530801683e-06,0.001043896957675222,1.648602271906299e-06,0.001048496028096226,2.054451175377251e-06,0.001056600238903562,2.579446189396782e-06,0.001139877702555462,2.531538986617874e-06,0.001094802366707328,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.306956530801683e-06,0.007397095604943218,1.648602271906299e-06,2.997378399468613,2.054451175377251e-06,-0.08388652833144987,2.579446189396782e-06,-0.02675685289778755,2.531538986617874e-06,2.995341276067611,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.308551111409333e-06,0.001036419442174395,1.649389993796483e-06,0.001038104612640114,2.055844346080236e-06,0.001046710191855817,2.581293353325195e-06,0.00111798913542757,2.533362984341744e-06,0.001084790665751312,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.308551111409333e-06,0.007092344810180702,1.649389993796483e-06,2.998459293843419,2.055844346080236e-06,-0.09738328874720621,2.581293353325195e-06,-0.03743151421285371,2.533362984341744e-06,2.997575004100881,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.309677988319486e-06,0.001003752321985361,1.650178403534621e-06,0.001028930969285162,2.056961076729074e-06,0.001037068218393404,2.582334017993417e-06,0.001102159254954942,2.53443414198816e-06,0.001081020340148962,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.309677988319486e-06,0.006918901082212733,1.650178403534621e-06,3.000170829642243,2.056961076729074e-06,-0.1014932209337013,2.582334017993417e-06,-0.04002525800484041,2.53443414198816e-06,2.998415436106844,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.309929451900579e-06,0.0009962156784759238,1.65137089721826e-06,0.001014975231096108,2.058150352963269e-06,0.001025156172817262,2.58355109895701e-06,0.00108975385037885,2.53580715210691e-06,0.001076137465687225,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.309929451900579e-06,0.006883424906759284,1.65137089721826e-06,3.00388973873673,2.058150352963269e-06,-0.07890345165508475,2.58355109895701e-06,-0.04392083661139654,2.53580715210691e-06,2.998901731922856,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.310432379062764e-06,0.0009827605253454681,1.652362053234638e-06,0.001003041161456521,2.059965293732733e-06,0.001007509477954201,2.584454375306214e-06,0.00108265972423308,2.537066510273594e-06,0.001070785056203465,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.310432379062764e-06,0.00681368860820298,1.652362053234638e-06,3.00835517122775,2.059965293732733e-06,0.02899732678722563,2.584454375306214e-06,-0.04734276913894712,2.537066510273594e-06,2.999060271484517,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
