Total; tran P (inv_lM0=8e-07) X,Total; tran P (inv_lM0=8e-07) Y,Total; tran P (inv_lM0=1.6e-06) X,Total; tran P (inv_lM0=1.6e-06) Y,Total; tran P (inv_lM0=2.4e-06) X,Total; tran P (inv_lM0=2.4e-06) Y,Total; tran P (inv_lM0=3.2e-06) X,Total; tran P (inv_lM0=3.2e-06) Y,Total; tran P (inv_lM0=4e-06) X,Total; tran P (inv_lM0=4e-06) Y,Total; tran P (inv_lM0=4.8e-06) X,Total; tran P (inv_lM0=4.8e-06) Y,Total; tran P (inv_lM0=5.6e-06) X,Total; tran P (inv_lM0=5.6e-06) Y,Total; tran P (inv_lM0=6.4e-06) X,Total; tran P (inv_lM0=6.4e-06) Y,Total; tran P (inv_lM0=7.2e-06) X,Total; tran P (inv_lM0=7.2e-06) Y,Total; tran P (inv_lM0=8e-06) X,Total; tran P (inv_lM0=8e-06) Y,/w_out (inv_lM0=8e-07) X,/w_out (inv_lM0=8e-07) Y,/w_out (inv_lM0=1.6e-06) X,/w_out (inv_lM0=1.6e-06) Y,/w_out (inv_lM0=2.4e-06) X,/w_out (inv_lM0=2.4e-06) Y,/w_out (inv_lM0=3.2e-06) X,/w_out (inv_lM0=3.2e-06) Y,/w_out (inv_lM0=4e-06) X,/w_out (inv_lM0=4e-06) Y,/w_out (inv_lM0=4.8e-06) X,/w_out (inv_lM0=4.8e-06) Y,/w_out (inv_lM0=5.6e-06) X,/w_out (inv_lM0=5.6e-06) Y,/w_out (inv_lM0=6.4e-06) X,/w_out (inv_lM0=6.4e-06) Y,/w_out (inv_lM0=7.2e-06) X,/w_out (inv_lM0=7.2e-06) Y,/w_out (inv_lM0=8e-06) X,/w_out (inv_lM0=8e-06) Y,frequency (inv_lM0=8e-07) X,frequency (inv_lM0=8e-07) Y,frequency (inv_lM0=1.6e-06) X,frequency (inv_lM0=1.6e-06) Y,frequency (inv_lM0=2.4e-06) X,frequency (inv_lM0=2.4e-06) Y,frequency (inv_lM0=3.2e-06) X,frequency (inv_lM0=3.2e-06) Y,frequency (inv_lM0=4e-06) X,frequency (inv_lM0=4e-06) Y,frequency (inv_lM0=4.8e-06) X,frequency (inv_lM0=4.8e-06) Y,frequency (inv_lM0=5.6e-06) X,frequency (inv_lM0=5.6e-06) Y,frequency (inv_lM0=6.4e-06) X,frequency (inv_lM0=6.4e-06) Y,frequency (inv_lM0=7.2e-06) X,frequency (inv_lM0=7.2e-06) Y,frequency (inv_lM0=8e-06) X,frequency (inv_lM0=8e-06) Y
1.044292377422387e-06,0.003565610215131242,1.133354978834411e-06,0.002931885478758887,1.286915020205228e-06,0.002520477046361404,1.511522841099356e-06,0.002222035269483778,1.856216586849546e-06,0.002049309704882248,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.044292377422387e-06,0.6093121014131838,1.133354978834411e-06,2.980941885938884,1.286915020205228e-06,1.068524272182404,1.511522841099356e-06,0.1203815769346177,1.856216586849546e-06,2.999712504138653,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.045646308320116e-06,0.003579925615439147,1.134929943253032e-06,0.002960258318671155,1.288703276246848e-06,0.002552507893193807,1.513485139710729e-06,0.002227338761019132,1.858477837194114e-06,0.002059066562228135,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.045646308320116e-06,0.5761034071487348,1.134929943253032e-06,2.836168945956938,1.288703276246848e-06,1.473665012907987,1.513485139710729e-06,0.120437846994743,1.858477837194114e-06,3.001479606706,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.047056444581172e-06,0.003580523552154295,1.136324734908515e-06,0.002982471328068518,1.290392230860997e-06,0.002579926665715297,1.51543486869032e-06,0.002259731243320921,1.861696994697395e-06,0.002031293393773262,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.047056444581172e-06,0.5521232936366965,1.136324734908515e-06,2.589586030024762,1.290392230860997e-06,1.774542550342164,1.51543486869032e-06,0.120555830508824,1.861696994697395e-06,3.00298907130666,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.048137495973452e-06,0.003570636012765549,1.137773121212421e-06,0.002978381536922316,1.291946157125605e-06,0.002581069714392255,1.517381538189034e-06,0.002285974175003943,1.863977287957953e-06,0.002001752811909939,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.048137495973452e-06,0.5388996360484301,1.137773121212421e-06,2.236513807800584,1.291946157125605e-06,1.981470878962755,1.517381538189034e-06,0.1207177228347055,1.863977287957953e-06,3.003563374097474,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.049233128970441e-06,0.003560456308833529,1.139412514902238e-06,0.002952121688060901,1.293964390409917e-06,0.00255186909225182,1.519346134452814e-06,0.002284656221677611,1.866289953192451e-06,0.001992462407558897,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.049233128970441e-06,0.5284913214734308,1.139412514902238e-06,1.769761723604763,1.293964390409917e-06,2.177385115304296,1.519346134452814e-06,0.1206914310392384,1.866289953192451e-06,3.003873173565303,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.050375209497358e-06,0.003559446339115812,1.140635045648868e-06,0.002933725798634199,1.295472853221229e-06,0.002526854589054945,1.521549197912155e-06,0.002255114568423798,1.868551124168595e-06,0.002015871745525087,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.050375209497358e-06,0.5200925365235082,1.140635045648868e-06,1.419560591706635,1.295472853221229e-06,2.286193506279181,1.521549197912155e-06,0.1200454200398681,1.868551124168595e-06,3.004005200656728,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.051863903686877e-06,0.003573964250891016,1.141973626549428e-06,0.002931885475222317,1.297078322595432e-06,0.002518029649604348,1.523418590577473e-06,0.00222810510320258,1.870934836385064e-06,0.00204931036104009,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.051863903686877e-06,0.5119913436194108,1.141973626549428e-06,1.087135290063704,1.297078322595432e-06,2.388840836213607,1.523418590577473e-06,0.1176022879329144,1.870934836385064e-06,3.004020936376963,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.053186178948386e-06,0.003582525621932771,1.143548591020382e-06,0.002960258312149037,1.298832962874864e-06,0.002544559753351537,1.525311123003115e-06,0.002221009296260507,1.873196054653901e-06,0.002059066750996791,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.053186178948386e-06,0.5068467205062984,1.143548591020382e-06,0.8008897547481852,1.298832962874864e-06,2.50126226103366,1.525311123003115e-06,0.1131422614617651,1.873196054653901e-06,3.00396138287305,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.054736877101496e-06,0.00357357724398589,1.144943382816884e-06,0.002982471327707801,1.300600167690778e-06,0.00257708782168581,1.527308195510714e-06,0.002247856968034223,1.876415214139655e-06,0.002031293373350989,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.054736877101496e-06,0.5024685431310354,1.144943382816884e-06,0.6387937154936438,1.300600167690778e-06,2.601976088280374,1.527308195510714e-06,0.108399164369097,1.876415214139655e-06,3.003806217529525,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.055894500610331e-06,0.003561846575167236,1.146391769046116e-06,0.002978381540213322,1.302054892642209e-06,0.002583683561704553,1.529341012759375e-06,0.002281182725800841,1.878695499397953e-06,0.002001752678802233,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.055894500610331e-06,0.5000683922040565,1.146391769046116e-06,0.5181738879937763,1.302054892642209e-06,2.67575954433109,1.529341012759375e-06,0.1182916276228628,1.878695499397953e-06,3.003667642922982,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
