Total; tran P X,Total; tran P Y
0,0.003399842161509045
4.8828125e-12,0.00339981525312542
1.46484375e-11,0.003399782864193608
3.417968750000001e-11,0.003399738998670036
7.324218750000002e-11,0.003399684095432613
1.513671875000001e-10,0.003399682639735092
3.076171875000001e-10,0.003399798247188228
6.201171875000003e-10,0.003399614316371118
1.04065024945051e-09,0.003398061637226864
1.589338493320617e-09,0.003394233479786778
2.319708137626881e-09,0.003386492963395882
3.529089112510347e-09,0.00336923493915858
5e-09,0.003349303028893913
5.310166879628209e-09,0.003342193681753336
5.814009704194524e-09,0.003331725127756072
6.274626224489619e-09,0.003322777010524759
7.195859265079809e-09,0.003306559406823862
8.105160193898074e-09,0.003292714724478057
9.645538663922974e-09,0.003276294414196889
1.165758283781275e-08,0.003263274475547981
1.487067295347169e-08,0.003256241537156895
1.726979711177697e-08,0.003261831412243828
1.815156914911717e-08,0.003265509999860706
1.991511322379758e-08,0.003274631310637358
2.189754381195021e-08,0.003284518377483597
2.387572352716146e-08,0.003290789042865541
2.62783082619565e-08,0.003292614523501334
2.951778836176532e-08,0.003286392993250758
3.25904615662082e-08,0.00327183082416456
3.716885292733058e-08,0.003239450739095347
4.146218868989011e-08,0.003206386034916913
4.580389941166449e-08,0.003179110911669937
4.680429031990452e-08,0.003175864120286702
4.88050721363846e-08,0.003173204390462338
5.128062348760689e-08,0.00317713118341386
5.20580602355942e-08,0.003180066058233284
5.361293373156881e-08,0.003187257158877368
5.433895969502615e-08,0.003190945297726549
5.579101162194084e-08,0.003199278350853528
5.725924945425327e-08,0.003209005701805211
5.929520149961625e-08,0.003222855902869686
6.138985899570773e-08,0.003234839672722962
6.374668058583968e-08,0.003243439584269395
6.718574563791672e-08,0.003248238369273035
7.018054121939799e-08,0.003245337636095672
7.467242753190316e-08,0.003231111329707056
7.943211197645118e-08,0.003209773285624495
8.410743484289753e-08,0.003187212306081339
8.910475957363894e-08,0.003162440939703128
9.062506791682681e-08,0.003155906865609372
9.366568460320253e-08,0.003146229119648721
9.718230172533198e-08,0.003138689689578561
1.016606565796639e-07,0.003133272137820976
1.063594899789733e-07,0.00313000773033132
1.126413622416729e-07,0.003126913614222507
1.201506337399785e-07,0.003124631572837184
1.279138040714133e-07,0.003123171310968816
1.372587527125843e-07,0.003121953127432846
