/Z X,/Z Y
3,0.00556036031495865
2.94,0.006661972028413416
2.88,0.007987331378789497
2.82,0.009588901856979248
2.76,0.0115364321211219
2.7,0.01392368404800361
2.64,0.01687758918586543
2.58,0.02057069096382749
2.52,0.02523813782902174
2.46,0.03120101316918693
2.399999999999999,0.03889843745308022
2.339999999999999,0.04893161765728011
2.279999999999999,0.0621237204942788
2.219999999999999,0.07959979489873874
2.159999999999999,0.1028903284520053
2.099999999999999,0.1340592588726475
2.039999999999999,0.1758502228605606
1.979999999999999,0.2318275616096045
1.919999999999999,0.3064418764005389
1.859999999999999,0.404832448811005
1.799999999999999,0.532001553493565
1.739999999999999,0.6911063149048277
1.679999999999999,0.8816017222514761
1.619999999999999,1.098918352586134
1.559999999999999,1.336016769724791
1.499999999999999,1.585095889980677
1.439999999999999,1.838054936913031
1.379999999999999,2.085531317463379
1.319999999999999,2.314851166011135
1.259999999999998,2.509323921642657
1.199999999999998,2.656000575190784
1.139999999999998,2.757221724633447
1.079999999999998,2.825731061470027
1.019999999999998,2.873208639300945
0.9599999999999982,2.907103301353613
0.8999999999999981,2.931860085751935
0.8399999999999981,2.950217854288657
0.779999999999998,2.963951344594926
0.719999999999998,2.974268151349402
0.6599999999999979,2.982030344879786
0.5999999999999979,2.987881625662283
0.5399999999999978,2.992303935102966
0.4799999999999978,2.995598105986695
0.4199999999999978,2.997855053426253
0.3599999999999978,2.99913206804051
0.2999999999999978,2.999698128987299
0.2399999999999978,2.999904089479505
0.1799999999999978,2.999970857120448
0.1199999999999978,2.999991305680045
0.05999999999999783,2.999997398704561
0,2.999999186289325
