/net1 X,/net1 Y,/w_out X,/w_out Y
2.3e-07,2.999871276648967,2.3e-07,0.006510396341130906
2.301e-07,2.999879441179805,2.301e-07,0.006552585121575043
2.302e-07,2.999887605710643,2.302e-07,0.00659477390201918
2.303e-07,2.999895770241481,2.303e-07,0.006636962682463316
2.304000000000001e-07,2.99990393477232,2.304000000000001e-07,0.006679151462907453
2.305000000000001e-07,2.999912099303158,2.305000000000001e-07,0.00672134024335159
2.306000000000001e-07,2.999920263833996,2.306000000000001e-07,0.006763529023795726
2.307000000000001e-07,2.999928428364834,2.307000000000001e-07,0.006805717804239862
2.308000000000001e-07,2.999936592895673,2.308000000000001e-07,0.006847906584683999
2.309000000000001e-07,2.999944757426511,2.309000000000001e-07,0.006890095365128136
2.310000000000001e-07,2.99995292195735,2.310000000000001e-07,0.006932284145572272
2.311000000000001e-07,2.999961086488188,2.311000000000001e-07,0.006974472926016409
2.312000000000001e-07,2.999969251019026,2.312000000000001e-07,0.007016661706460545
2.313000000000001e-07,2.999977415549864,2.313000000000001e-07,0.007058850486904682
2.314000000000001e-07,2.999985580080702,2.314000000000001e-07,0.007101039267348818
2.315000000000001e-07,2.999993744611541,2.315000000000001e-07,0.007143228047792955
2.316000000000001e-07,3.000001909142379,2.316000000000001e-07,0.007185416828237092
2.317000000000001e-07,3.00001188129538,2.317000000000001e-07,0.007260018566208031
2.318000000000002e-07,3.000026052635772,2.318000000000002e-07,0.007409917058872524
2.319000000000002e-07,3.000040223976165,2.319000000000002e-07,0.007559815551537018
2.320000000000002e-07,3.000054395316557,2.320000000000002e-07,0.007709714044201512
2.321000000000002e-07,3.00006856665695,2.321000000000002e-07,0.007859612536866005
2.322000000000002e-07,3.000082737997342,2.322000000000002e-07,0.0080095110295305
2.323000000000002e-07,3.000096909337734,2.323000000000002e-07,0.008159409522194993
2.324000000000002e-07,3.000111080678126,2.324000000000002e-07,0.008309308014859487
2.325000000000002e-07,3.000125252018519,2.325000000000002e-07,0.00845920650752398
2.326000000000002e-07,3.000139423358911,2.326000000000002e-07,0.008609105000188475
2.327000000000002e-07,3.000153594699304,2.327000000000002e-07,0.008759003492852968
2.328000000000002e-07,3.000167766039696,2.328000000000002e-07,0.008908901985517461
2.329000000000002e-07,3.000181937380089,2.329000000000002e-07,0.009058800478181955
2.330000000000002e-07,3.000196108720481,2.330000000000002e-07,0.00920869897084645
2.331000000000003e-07,3.000210280060873,2.331000000000003e-07,0.009358597463510943
2.332000000000003e-07,3.000224451401265,2.332000000000003e-07,0.009508495956175436
2.333000000000003e-07,3.000238622741658,2.333000000000003e-07,0.009658394448839929
2.334000000000003e-07,3.00025279408205,2.334000000000003e-07,0.009808292941504423
2.335000000000003e-07,3.000266965422443,2.335000000000003e-07,0.009958191434168918
2.336000000000003e-07,3.000281136762835,2.336000000000003e-07,0.01010808992683341
2.337000000000003e-07,3.000295308103227,2.337000000000003e-07,0.0102579884194979
2.338000000000003e-07,3.00030947944362,2.338000000000003e-07,0.0104078869121624
2.339000000000003e-07,3.000323650784012,2.339000000000003e-07,0.01055778540482689
2.340000000000003e-07,3.000346576145634,2.340000000000003e-07,0.0108515554814793
2.341000000000003e-07,3.000378070564958,2.341000000000003e-07,0.01128615728249258
2.342000000000003e-07,3.000409564984281,2.342000000000003e-07,0.01172075908350586
2.343000000000003e-07,3.000441059403606,2.343000000000003e-07,0.01215536088451914
2.344000000000004e-07,3.000472553822929,2.344000000000004e-07,0.01258996268553242
2.345000000000004e-07,3.000504048242253,2.345000000000004e-07,0.0130245644865457
2.346000000000004e-07,3.000535542661577,2.346000000000004e-07,0.01345916628755898
2.347000000000004e-07,3.0005670370809,2.347000000000004e-07,0.01389376808857226
2.348000000000004e-07,3.000598531500224,2.348000000000004e-07,0.01432836988958554
2.349000000000004e-07,3.000630025919548,2.349000000000004e-07,0.01476297169059882
2.350000000000004e-07,3.000661520338872,2.350000000000004e-07,0.0151975734916121
2.351000000000004e-07,3.000693014758195,2.351000000000004e-07,0.01563217529262538
2.352000000000004e-07,3.000724509177519,2.352000000000004e-07,0.01606677709363866
2.353000000000004e-07,3.000756003596843,2.353000000000004e-07,0.01650137889465194
2.354000000000004e-07,3.000787498016166,2.354000000000004e-07,0.01693598069566522
2.355000000000004e-07,3.00081899243549,2.355000000000004e-07,0.0173705824966785
2.356000000000004e-07,3.000850486854814,2.356000000000004e-07,0.01780518429769178
2.357000000000004e-07,3.000881981274138,2.357000000000004e-07,0.01823978609870506
2.358000000000005e-07,3.000913475693462,2.358000000000005e-07,0.01867438789971834
2.359000000000005e-07,3.000944970112785,2.359000000000005e-07,0.01910898970073162
2.360000000000005e-07,3.000976464532109,2.360000000000005e-07,0.0195435915017449
2.361000000000005e-07,3.001007958951433,2.361000000000005e-07,0.01997819330275818
2.362000000000005e-07,3.001039453370757,2.362000000000005e-07,0.02041279510377146
2.363000000000005e-07,3.00107094779008,2.363000000000005e-07,0.02084739690478474
2.364000000000005e-07,3.001102442209404,2.364000000000005e-07,0.02128199870579802
2.365000000000005e-07,3.001133936628728,2.365000000000005e-07,0.0217166005068113
2.366000000000005e-07,3.001165431048051,2.366000000000005e-07,0.02215120230782458
2.367000000000005e-07,3.001196925467375,2.367000000000005e-07,0.02258580410883786
2.368000000000005e-07,3.001255054103372,2.368000000000005e-07,0.02351632566946654
2.369000000000005e-07,3.001321604034631,2.369000000000005e-07,0.02460364879002899
2.370000000000005e-07,3.00138815396589,2.370000000000005e-07,0.02569097191059145
