/w_out X,/w_out Y,/net1 X,/net1 Y
8.500000000000001e-08,2.997292838717995,8.500000000000001e-08,0.005868064158874549
8.51e-08,2.997861373758685,8.51e-08,0.005977544921053682
8.52e-08,2.998429908799374,8.52e-08,0.006087025683232814
8.529999999999999e-08,2.998998443840063,8.529999999999999e-08,0.006196506445411947
8.539999999999998e-08,2.999566978880753,8.539999999999998e-08,0.00630598720759108
8.549999999999998e-08,3.000135513921442,8.549999999999998e-08,0.006415467969770212
8.559999999999997e-08,3.000704048962131,8.559999999999997e-08,0.006524948731949345
8.569999999999997e-08,3.00127258400282,8.569999999999997e-08,0.006634429494128478
8.579999999999996e-08,3.001841119043509,8.579999999999996e-08,0.006743910256307611
8.589999999999996e-08,3.002409654084199,8.589999999999996e-08,0.006853391018486744
8.599999999999995e-08,3.002978189124888,8.599999999999995e-08,0.006962871780665876
8.609999999999994e-08,3.004033349839966,8.609999999999994e-08,0.007131522197251424
8.619999999999994e-08,3.005384989173567,8.619999999999994e-08,0.007336221960018569
8.629999999999993e-08,3.006736628507168,8.629999999999993e-08,0.007540921722785712
8.639999999999993e-08,3.008088267840769,8.639999999999993e-08,0.007745621485552856
8.649999999999992e-08,3.00943990717437,8.649999999999992e-08,0.00795032124832
8.659999999999992e-08,3.010791546507971,8.659999999999992e-08,0.008155021011087145
8.669999999999991e-08,3.012143185841571,8.669999999999991e-08,0.008359720773854289
8.67999999999999e-08,3.013494825175172,8.67999999999999e-08,0.008564420536621433
8.68999999999999e-08,3.01514673249319,8.68999999999999e-08,0.008759928494995555
8.699999999999989e-08,3.017181987626825,8.699999999999989e-08,0.008943701408947652
8.709999999999989e-08,3.019217242760459,8.709999999999989e-08,0.009127474322899749
8.719999999999988e-08,3.021252497894093,8.719999999999988e-08,0.009311247236851845
8.729999999999988e-08,3.023287753027728,8.729999999999988e-08,0.009495020150803942
8.739999999999987e-08,3.025323008161362,8.739999999999987e-08,0.009678793064756039
8.749999999999986e-08,3.027358263294996,8.749999999999986e-08,0.009862565978708136
8.759999999999986e-08,3.029393518428631,8.759999999999986e-08,0.01004633889266023
8.769999999999985e-08,3.031428773562265,8.769999999999985e-08,0.01023011180661233
8.779999999999985e-08,3.033464028695899,8.779999999999985e-08,0.01041388472056443
8.789999999999984e-08,3.035353803524295,8.789999999999984e-08,0.010435613574235
8.799999999999984e-08,3.037155841161507,8.799999999999984e-08,0.01035961586159342
8.809999999999983e-08,3.038957878798719,8.809999999999983e-08,0.01028361814895183
8.819999999999982e-08,3.040083813912079,8.819999999999982e-08,0.009957253559743756
8.829999999999982e-08,3.040603924975826,8.829999999999982e-08,0.009462263360812122
8.839999999999981e-08,3.040599357114014,8.839999999999981e-08,0.008831160572709678
8.849999999999981e-08,3.040594789252202,8.849999999999981e-08,0.008200057784607234
8.85999999999998e-08,3.039965643949088,8.85999999999998e-08,0.007591818830075448
8.86999999999998e-08,3.03910872766061,8.86999999999998e-08,0.006991917861447777
8.879999999999979e-08,3.038251811372131,8.879999999999979e-08,0.006392016892820106
8.889999999999978e-08,3.037394895083652,8.889999999999978e-08,0.005792115924192436
8.899999999999978e-08,3.036537978795173,8.899999999999978e-08,0.005192214955564765
8.909999999999977e-08,3.035334260906287,8.909999999999977e-08,0.004629955585668091
8.919999999999977e-08,3.033588438062064,8.919999999999977e-08,0.004126535901559566
8.929999999999976e-08,3.031842615217841,8.929999999999976e-08,0.003623116217451042
8.939999999999975e-08,3.030096792373619,8.939999999999975e-08,0.003119696533342518
8.949999999999975e-08,3.028350969529396,8.949999999999975e-08,0.002616276849233993
8.959999999999974e-08,3.026412330543073,8.959999999999974e-08,0.002083873022336577
8.969999999999974e-08,3.021993315478243,8.969999999999974e-08,0.001178618802073841
8.979999999999973e-08,3.017574300413413,8.979999999999973e-08,0.0002733645818111061
8.989999999999973e-08,3.013155285348583,8.989999999999973e-08,-0.0006318896384516289
8.999999999999972e-08,3.008736270283753,8.999999999999972e-08,-0.001537143858714363
9.009999999999971e-08,3.004317255218924,9.009999999999971e-08,-0.002442398078977099
9.019999999999971e-08,2.999898240154094,9.019999999999971e-08,-0.003347652299239833
9.02999999999997e-08,2.995479225089264,9.02999999999997e-08,-0.004252906519502568
9.03999999999997e-08,2.986044906098597,9.03999999999997e-08,-0.005766178482829354
9.049999999999969e-08,2.9764622072402,9.049999999999969e-08,-0.007297438905804273
9.059999999999969e-08,2.966879508381804,9.059999999999969e-08,-0.00882869932877919
9.069999999999968e-08,2.957296809523407,9.069999999999968e-08,-0.01035995975175411
9.079999999999967e-08,2.947714110665011,9.079999999999967e-08,-0.01189122017472903
9.089999999999967e-08,2.938131411806614,9.089999999999967e-08,-0.01342248059770395
9.099999999999966e-08,2.928548712948218,9.099999999999966e-08,-0.01495374102067886
9.109999999999966e-08,2.918966014089821,9.109999999999966e-08,-0.01648500144365378
9.119999999999965e-08,2.907277642917966,9.119999999999965e-08,-0.01812636443695106
9.129999999999965e-08,2.891250025652194,9.129999999999965e-08,-0.01999462035425545
9.139999999999964e-08,2.875222408386421,9.139999999999964e-08,-0.02186287627155984
9.149999999999963e-08,2.859194791120648,9.149999999999963e-08,-0.02373113218886423
9.159999999999963e-08,2.843167173854876,9.159999999999963e-08,-0.02559938810616862
9.169999999999962e-08,2.827139556589103,9.169999999999962e-08,-0.02746764402347301
9.179999999999962e-08,2.811111939323331,9.179999999999962e-08,-0.0293358999407774
9.189999999999961e-08,2.795084322057558,9.189999999999961e-08,-0.03120415585808179
