Total; tran P X,Total; tran P Y,/w_out X,/w_out Y,/net1 X,/net1 Y,freq X,freq Y
0,0.00110683228566758,0,2.999999097373288,0,2.999991644075013,1.949122384923494e-07,5075350.850149076
2.9296875e-12,0.00110624595489304,2.9296875e-12,2.998769823191887,2.9296875e-12,2.994371797337674,3.919429521366342e-07,5074608.892344667
8.7890625e-12,0.001105513458349178,8.7890625e-12,2.997318045875428,8.7890625e-12,2.987170834664885,5.89002473611985e-07,5071853.038138754
2.05078125e-11,0.001104171610401863,2.05078125e-11,2.994695191778124,2.05078125e-11,2.973741169777449,7.861690698205722e-07,5067507.349174592
3.639378010264306e-11,0.001102399815960465,3.639378010264306e-11,2.991165624392303,3.639378010264306e-11,2.955763028352024,9.835047481127571e-07,5069758.329708857
6.816571530792919e-11,0.001099060323905633,6.816571530792919e-11,2.984657933926042,6.816571530792919e-11,2.920614078647399,1.180752809058776e-06,5072434.30532323
1.317095857185015e-10,0.001092991564701752,1.317095857185015e-10,2.972963109321505,1.317095857185015e-10,2.853149595254815,1.377896811288742e-06,5069215.708054507
2.58797326539646e-10,0.001082646895380208,2.58797326539646e-10,2.953930538354489,2.58797326539646e-10,2.727688270533694,1.575165986165458e-06,5070608.222258458
5.129728081819351e-10,0.00106616205037843,5.129728081819351e-10,2.928072451227451,5.129728081819351e-10,2.504500065562813,1.772380986056457e-06,5069041.056602612
8.225664960055708e-10,0.001049970636588104,8.225664960055708e-10,2.910163875675109,8.225664960055708e-10,2.266509241092434,1.96965695775084e-06,5069805.160489074
1.194261355002837e-09,0.001033428678734343,1.194261355002837e-09,2.898671327942716,1.194261355002837e-09,2.012212147999513,2.166903196678004e-06,5070943.983220063
1.651125608572985e-09,0.001015798709532291,1.651125608572985e-09,2.891938032739752,1.651125608572985e-09,1.73344558846262,2.364105138428699e-06,5071754.87496996
2.297169419471404e-09,0.0009944469975863939,2.297169419471404e-09,2.889695245811599,2.297169419471404e-09,1.392411478104352,2.561275550771611e-06,5072886.318850764
3.369545728338051e-09,0.0009672164638495672,3.369545728338051e-09,2.897159706149867,3.369545728338051e-09,0.9526082925069523,2.75840198671874e-06,5071913.187034798
4.556936697447429e-09,0.0009493676293463848,4.556936697447429e-09,2.920408435924171,4.556936697447429e-09,0.6601729079499891,  ,  
5.765857938505587e-09,0.0009389082188908873,5.765857938505587e-09,2.932916044012829,5.765857938505587e-09,0.4241946935319991,  ,  
6.631651527998466e-09,0.0009423034273192956,6.631651527998466e-09,2.939240145640019,6.631651527998466e-09,0.2768697307868512,  ,  
7.909059001337892e-09,0.000977753788235776,7.909059001337892e-09,2.962298495436137,7.909059001337892e-09,0.1822973475299361,  ,  
8.910088475955175e-09,0.001017456309850052,8.910088475955175e-09,2.973662052626755,8.910088475955175e-09,0.14278397007851,  ,  
9.95133435626535e-09,0.001045470300468074,9.95133435626535e-09,2.980950644491483,9.95133435626535e-09,0.1110875953839093,  ,  
1.146455644699797e-08,0.001037842507741093,1.146455644699797e-08,2.987365006462603,1.146455644699797e-08,0.07498780245047069,  ,  
1.257047681878662e-08,0.001005436045617301,1.257047681878662e-08,2.990570089698728,1.257047681878662e-08,0.05615118897643972,  ,  
1.356026920578481e-08,0.0009782234785050811,1.356026920578481e-08,2.993310797949918,1.356026920578481e-08,0.04661656877450023,  ,  
1.436118770321304e-08,0.0009619196413151073,1.436118770321304e-08,2.995080288330207,1.436118770321304e-08,0.04228391059540867,  ,  
1.535339246891276e-08,0.0009473733524594659,1.535339246891276e-08,2.996711942177298,1.535339246891276e-08,0.03935907664956512,  ,  
1.561223617682876e-08,0.0009449495412957073,1.561223617682876e-08,2.99702257972484,1.561223617682876e-08,0.03882385184255034,  ,  
1.612992359266076e-08,0.0009425391365714593,1.612992359266076e-08,2.997277528279142,1.612992359266076e-08,0.03671008523060049,  ,  
1.673064574807474e-08,0.0009432230342186144,1.673064574807474e-08,2.997400727318026,1.673064574807474e-08,0.03363037819348882,  ,  
1.73574083958257e-08,0.0009518263815329627,1.73574083958257e-08,2.997701070871709,1.73574083958257e-08,0.03115077989855176,  ,  
1.820393099161273e-08,0.000977247286783064,1.820393099161273e-08,2.998043181426525,1.820393099161273e-08,0.028213419910494,  ,  
1.907198056565637e-08,0.001010271888547289,1.907198056565637e-08,2.998145450453703,1.907198056565637e-08,0.02469049136505237,  ,  
2.017317216047453e-08,0.001042135064153983,2.017317216047453e-08,2.998276465941953,2.017317216047453e-08,0.02032392194824983,  ,  
2.170295206206182e-08,0.001039926831126186,2.170295206206182e-08,2.998600623266612,2.170295206206182e-08,0.01558918352479722,  ,  
2.287733226171031e-08,0.00100735053021018,2.287733226171031e-08,2.998890056862543,2.287733226171031e-08,0.01311586723610622,  ,  
2.389621693315521e-08,0.0009793328837430079,2.389621693315521e-08,2.999120504131725,2.389621693315521e-08,0.01164729106101105,  ,  
2.470929315531749e-08,0.0009625855109703016,2.470929315531749e-08,2.999258223765796,2.470929315531749e-08,0.01071619555822707,  ,  
2.569652107907702e-08,0.0009478950649463781,2.569652107907702e-08,2.999394234196739,2.569652107907702e-08,0.009810386998048789,  ,  
2.596075559716483e-08,0.000945319408958186,2.596075559716483e-08,2.999424759559585,2.596075559716483e-08,0.009600658790094497,  ,  
2.648922463334045e-08,0.0009427640047213154,2.648922463334045e-08,2.999471335110584,2.648922463334045e-08,0.009175907570220366,  ,  
2.70876553619221e-08,0.0009433153775007027,2.70876553619221e-08,2.99952669521095,2.70876553619221e-08,0.008770846559011938,  ,  
2.772414004373208e-08,0.000951833809961781,2.772414004373208e-08,2.999592736853846,2.772414004373208e-08,0.008459246543085991,  ,  
2.8566168889828e-08,0.0009769467147718611,2.8566168889828e-08,2.999658726571278,2.8566168889828e-08,0.008112389735496953,  ,  
2.943763111698627e-08,0.001010046287600121,2.943763111698627e-08,2.999705752394543,2.943763111698627e-08,0.007788955429871034,  ,  
3.053082561860368e-08,0.001041875316065258,3.053082561860368e-08,2.999760330470318,3.053082561860368e-08,0.007485174948955077,  ,  
3.205363172305554e-08,0.001040392667422331,3.205363172305554e-08,2.99981730219567,3.205363172305554e-08,0.007177259688039777,  ,  
3.323144898193991e-08,0.001007964172435806,3.323144898193991e-08,2.999846026501534,3.323144898193991e-08,0.006985784008645938,  ,  
3.425314539953706e-08,0.0009797668166277682,3.425314539953706e-08,2.999864669793407,3.425314539953706e-08,0.006838491301163216,  ,  
3.506672260882594e-08,0.0009628915743689374,3.506672260882594e-08,2.999876247378735,3.506672260882594e-08,0.006728574634306408,  ,  
3.605294481662864e-08,0.0009481153555548536,3.605294481662864e-08,2.999889196629995,3.605294481662864e-08,0.006609313480726228,  ,  
3.631900751898996e-08,0.0009454585606134462,3.631900751898996e-08,2.999892363809046,3.631900751898996e-08,0.006579343356537426,  ,  
3.68511329237126e-08,0.0009428166636410366,3.68511329237126e-08,2.999898069007664,3.68511329237126e-08,0.006520697329828657,  ,  
3.744643370557233e-08,0.0009432561087259027,3.744643370557233e-08,2.999904724802369,3.744643370557233e-08,0.006461685827330958,  ,  
3.808748667825513e-08,0.0009516288552086387,3.808748667825513e-08,2.999911579549809,3.808748667825513e-08,0.006404419716331432,  ,  
3.892208544709447e-08,0.0009763180865012983,3.892208544709447e-08,2.999918677406514,3.892208544709447e-08,0.006332652045816696,  ,  
3.97954187189824e-08,0.001009467868286793,3.97954187189824e-08,2.999925311926887,3.97954187189824e-08,0.006263070233826686,  ,  
4.087887880919126e-08,0.001041402537031258,4.087887880919126e-08,2.999933324818119,4.087887880919126e-08,0.006187754260770855,  ,  
4.239661028338078e-08,0.001040987339907702,4.239661028338078e-08,2.999942597157411,4.239661028338078e-08,0.006095301606377513,  ,  
4.357911996431305e-08,0.001008759101977791,4.357911996431305e-08,2.999948760674618,4.357911996431305e-08,0.0060326976436144,  ,  
4.460504111304324e-08,0.000980303753960502,4.460504111304324e-08,2.999953585603578,4.460504111304324e-08,0.005984694807721378,  ,  
4.541965287499479e-08,0.0009632569379947591,4.541965287499479e-08,2.999957039472515,4.541965287499479e-08,0.005950167179358775,  ,  
4.640493479825437e-08,0.0009483758381051844,4.640493479825437e-08,2.999960890077425,4.640493479825437e-08,0.005912502218232701,  ,  
4.667341157589667e-08,0.0009456154851610938,4.667341157589667e-08,2.999961849577784,4.667341157589667e-08,0.005902890198928533,  ,  
4.721036513118127e-08,0.0009428629232381749,4.721036513118127e-08,2.999963696223936,4.721036513118127e-08,0.00588441829172414,  ,  
4.780258202560485e-08,0.0009431731894846395,4.780258202560485e-08,2.999965673737994,4.780258202560485e-08,0.00586536132768113,  ,  
4.845055790465655e-08,0.0009514009407632338,4.845055790465655e-08,2.999968183679315,4.845055790465655e-08,0.00584592736341593,  ,  
4.927789897190551e-08,0.0009756755548774808,4.927789897190551e-08,2.99997125117134,4.927789897190551e-08,0.005823845880864121,  ,  
5.015823967938685e-08,0.001009061717949005,5.015823967938685e-08,2.999974193053158,5.015823967938685e-08,0.005800805509168612,  ,  
5.121608809212626e-08,0.001040697192884748,5.121608809212626e-08,2.999976963693162,5.121608809212626e-08,0.005775828651359532,  ,  
5.272588943540244e-08,0.001041823709018249,5.272588943540244e-08,2.999980273943635,5.272588943540244e-08,0.005744713566280622,  ,  
5.391258215857136e-08,0.001009998787734156,5.391258215857136e-08,2.999982521379196,5.391258215857136e-08,0.005723568671880197,  ,  
5.494511789421405e-08,0.0009811462794453937,5.494511789421405e-08,2.999984195089064,5.494511789421405e-08,0.005707166574357393,  ,  
5.576105212909191e-08,0.0009638322556289358,5.576105212909191e-08,2.999985387144777,5.576105212909191e-08,0.005695394693063024,  ,  
5.6744055913265e-08,0.0009488034713316293,5.6744055913265e-08,2.999986616261313,5.6744055913265e-08,0.005682450820620894,  ,  
5.701608212921681e-08,0.0009458764813611301,5.701608212921681e-08,2.999986797206414,5.701608212921681e-08,0.005679041215749579,  ,  
5.756013456112041e-08,0.0009429375783625717,5.756013456112041e-08,2.999987356481467,5.756013456112041e-08,0.005672647671285959,  ,  
5.814862879075413e-08,0.0009430446941178627,5.814862879075413e-08,2.999988770198609,5.814862879075413e-08,0.005666328903913066,  ,  
5.881030358717484e-08,0.0009510817088236497,5.881030358717484e-08,2.99998932118437,5.881030358717484e-08,0.005659205446144434,  ,  
5.962925762416474e-08,0.0009748310631239829,5.962925762416474e-08,2.999989548547782,5.962925762416474e-08,0.005651075828157429,  ,  
6.051526975262446e-08,0.001008396781718741,6.051526975262446e-08,2.999990852773541,6.051526975262446e-08,0.005643436477043159,  ,  
6.15607915871635e-08,0.001040089080406428,6.15607915871635e-08,2.999991796109956,6.15607915871635e-08,0.005634937832668412,  ,  
6.306596145684135e-08,0.001042438156438221,6.306596145684135e-08,2.999992392954338,6.306596145684135e-08,0.005624170212613753,  ,  
6.425795177963566e-08,0.001010896094629967,6.425795177963566e-08,2.99999402310707,6.425795177963566e-08,0.005617123551647396,  ,  
6.529533893251838e-08,0.0009817555554615454,6.529533893251838e-08,2.999995445868697,6.529533893251838e-08,0.005611434011891736,  ,  
6.611304206487114e-08,0.0009642343929038382,6.611304206487114e-08,2.999996230639746,6.611304206487114e-08,0.005607263660680656,  ,  
6.709479634923196e-08,0.0009491067317095191,6.709479634923196e-08,2.999993465996463,6.709479634923196e-08,0.005601890958735459,  ,  
6.736947942026272e-08,0.0009460639389148701,6.736947942026272e-08,2.999989167181198,6.736947942026272e-08,0.005599437331803794,  ,  
