/out (width_pun=5e-06) X,/out (width_pun=5e-06) Y,/out (width_pun=1e-05) X,/out (width_pun=1e-05) Y,/out (width_pun=1.5e-05) X,/out (width_pun=1.5e-05) Y,/out (width_pun=2e-05) X,/out (width_pun=2e-05) Y,/out (width_pun=2.5e-05) X,/out (width_pun=2.5e-05) Y,/out (width_pun=3e-05) X,/out (width_pun=3e-05) Y,/out (width_pun=3.5e-05) X,/out (width_pun=3.5e-05) Y,/out (width_pun=4e-05) X,/out (width_pun=4e-05) Y,/out (width_pun=4.5e-05) X,/out (width_pun=4.5e-05) Y,/out (width_pun=5e-05) X,/out (width_pun=5e-05) Y
0,2.999996188584733,0,2.999996146354516,0,2.999996116823791,0,2.99999609420622,0,2.999996075493993,0,2.999996060245436,0,2.999996046983773,0,2.999996035256602,0,2.999996024745849,0,2.99999601522099
0.06,2.999986729532311,0.06,2.999986544129639,0.06,2.999986417855402,0.06,2.999986325410647,0.06,2.999986252715511,0.06,2.999986191730844,0.06,2.999986139613921,0.06,2.999986094035387,0.06,2.999986053484135,0.06,2.999986016923645
0.12,2.999953560947151,0.12,2.999952784237959,0.12,2.999952308122207,0.12,2.999951961879376,0.12,2.99995168829421,0.12,2.999951461048779,0.12,2.99995126631393,0.12,2.999951095583408,0.12,2.999950943329543,0.12,2.999950805752071
0.18,2.999838710905392,0.18,2.999835829836363,0.18,2.999834066139512,0.18,2.999832773705394,0.18,2.999831744331959,0.18,2.999830883690685,0.18,2.99983014085453,0.18,2.999829485084689,0.18,2.999828896375661,0.18,2.99982836096008
0.24,2.999451539241365,0.24,2.999440938045574,0.24,2.99943429819914,0.24,2.999429328996992,0.24,2.99942529314846,0.24,2.999421856264542,0.24,2.999418837459884,0.24,2.999416127508566,0.24,2.999413137583213,0.24,2.999410793332991
0.3,2.998218419384596,0.3,2.998178903438753,0.3,2.998152746315875,0.3,2.998130600651827,0.3,2.998112654047335,0.3,2.998096689804818,0.3,2.998082100997997,0.3,2.998068525236964,0.3,2.998055730305737,0.3,2.998043559344213
0.36,2.994727826422237,0.36,2.994577165938446,0.36,2.994460200734124,0.36,2.994363073181243,0.36,2.9942756702943,0.36,2.994195036289717,0.36,2.99411964668086,0.36,2.99404857204897,0.36,2.993981165344656,0.36,2.993916933712095
0.42,2.98665062403664,0.42,2.986089785801282,0.42,2.985638027501823,0.42,2.985225510826573,0.42,2.984889389082566,0.42,2.984564682119019,0.42,2.9842631428637,0.42,2.983980126166126,0.42,2.9837122083131,0.42,2.983456786813851
0.48,2.972084002954789,0.48,2.97038285063858,0.48,2.969026713632153,0.48,2.967863697991436,0.48,2.966824281648079,0.48,2.965867889145875,0.48,2.964971602825616,0.48,2.964120398750334,0.48,2.963304075342202,0.48,2.962515379880603
0.54,2.950634474235552,0.54,2.946792385924246,0.54,2.943766848864448,0.54,2.941140892879787,0.54,2.938748599764188,0.54,2.936507946564059,0.54,2.934372079002718,0.54,2.932311451184031,0.54,2.930306055360332,0.54,2.928341592506989
0.6000000000000001,2.922113412106932,0.6000000000000001,2.914920280825479,0.6000000000000001,2.909156871733176,0.6000000000000001,2.904040839748681,0.6000000000000001,2.899285478432309,0.6000000000000001,2.894750978500186,0.6000000000000001,2.890357062048095,0.6000000000000001,2.886052433554323,0.6000000000000001,2.881801703658081,0.6000000000000001,2.877578980653067
0.6600000000000001,2.88545843801937,0.6600000000000001,2.873235286245279,0.6600000000000001,2.863174625629753,0.6600000000000001,2.854034011195412,0.6600000000000001,2.845366149256266,0.6600000000000001,2.836950966540145,0.6600000000000001,2.828659990201324,0.6600000000000001,2.820409433844947,0.6600000000000001,2.812140199601984,0.6600000000000001,2.803808122955238
0.7200000000000002,2.839128531165195,0.7200000000000002,2.819521396931067,0.7200000000000002,2.802914963053259,0.7200000000000002,2.787484710135878,0.7200000000000002,2.772574338311086,0.7200000000000002,2.757859966232874,0.7200000000000002,2.743153809494054,0.7200000000000002,2.728336658153761,0.7200000000000002,2.713329332130319,0.7200000000000002,2.698078924133468
0.7800000000000002,2.781663943130399,0.7800000000000002,2.751549958724996,0.7800000000000002,2.725376828953296,0.7800000000000002,2.700614456831242,0.7800000000000002,2.676373520771305,0.7800000000000002,2.652240919777293,0.7800000000000002,2.628006261214337,0.7800000000000002,2.603566181820383,0.7800000000000002,2.578881785560676,0.7800000000000002,2.553955748255531
0.8400000000000003,2.711981616974122,0.8400000000000003,2.667606230560097,0.8400000000000003,2.628347945513305,0.8400000000000003,2.590914618948509,0.8400000000000003,2.554243326481189,0.8400000000000003,2.517922981167506,0.8400000000000003,2.481811729516751,0.8400000000000003,2.445894655414675,0.8400000000000003,2.410216586466995,0.8400000000000003,2.374846210263111
0.9000000000000004,2.629593952802559,0.9000000000000004,2.567077637368373,0.9000000000000004,2.511510299335096,0.9000000000000004,2.458851716032994,0.9000000000000004,2.407932208747078,0.9000000000000004,2.358365758112022,0.9000000000000004,2.310040970480936,0.9000000000000004,2.262942785824415,0.9000000000000004,2.217081655166652,0.9000000000000004,2.172465772513552
0.9600000000000004,2.534818322494015,0.9600000000000004,2.450956599824105,0.9600000000000004,2.377108449340426,0.9600000000000004,2.308348702580677,0.9600000000000004,2.243234220597845,0.9600000000000004,2.181188682435792,0.9600000000000004,2.121909533020807,0.9600000000000004,2.065187935978685,0.9600000000000004,2.010849409336621,0.9600000000000004,1.95873473618832
