"Total; dc P (w_0=2e-05,w_1=5e-06) X","Total; dc P (w_0=2e-05,w_1=5e-06) Y","Total; dc P (w_0=2e-05,w_1=1e-05) X","Total; dc P (w_0=2e-05,w_1=1e-05) Y"
0,4.80310656845306e-10,0,6.666465285882213e-10
0.06,1.662418771953742e-09,0.06,2.305610661960109e-09
0.12,5.685121814139257e-09,0.12,7.878014544879704e-09
0.18,1.916531637134615e-08,0.18,2.653758602629876e-08
0.24,6.311691019416523e-08,0.24,8.732559211016865e-08
0.3,1.982961609384425e-07,0.3,2.741046889413923e-07
0.36,5.669587262288336e-07,0.36,7.828053313153057e-07
0.42,1.385772991745504e-06,0.42,1.910218444547823e-06
0.48,2.795952794434953e-06,0.48,3.846565010301175e-06
0.54,4.777333356660201e-06,0.54,6.561411974547355e-06
0.6000000000000001,7.30711858093676e-06,0.6000000000000001,1.002163270708061e-05
0.6600000000000001,1.044973085272379e-05,0.6600000000000001,1.431324780400888e-05
0.7200000000000002,1.430445277453872e-05,0.7200000000000002,1.956913227726735e-05
0.7800000000000002,1.895630817210651e-05,0.7800000000000002,2.590173462866155e-05
0.8400000000000003,2.44616970427867e-05,0.8400000000000003,3.338358935811589e-05
0.9000000000000004,3.084925538868177e-05,0.9000000000000004,4.204877469221645e-05
0.9600000000000004,3.812430000551302e-05,0.9600000000000004,5.189983470137943e-05
1.02,4.627350517828398e-05,1.02,6.29155065199583e-05
1.080000000000001,5.526904202086068e-05,1.080000000000001,7.505720177331695e-05
1.140000000000001,6.507171406595319e-05,1.140000000000001,8.827263616725474e-05
1.200000000000001,7.563268283814951e-05,1.200000000000001,0.0001024963933171403
1.260000000000001,8.68937815520662e-05,1.260000000000001,0.0001176485364944405
1.320000000000001,9.878685549494524e-05,1.320000000000001,0.0001336325110215586
1.380000000000001,0.0001112327269460857,1.380000000000001,0.0001503332427099291
1.440000000000001,0.0001241403453905619,1.440000000000001,0.0001676163052502983
1.500000000000001,0.0001374066476306009,1.500000000000001,0.0001853292921567273
1.560000000000001,0.0001509176682822719,1.560000000000001,0.0002033067280193615
1.620000000000001,0.0001645514251047001,1.620000000000001,0.0002213795175190174
1.680000000000001,0.0001781829216817811,1.680000000000001,0.0002393886504578986
1.740000000000001,0.0001916911601954898,1.740000000000001,0.0002572007744519162
1.800000000000001,0.0002049673698785479,1.800000000000001,0.0002747213910045792
1.860000000000001,0.0002179229736842761,1.860000000000001,0.0002919014055964635
1.920000000000001,0.0002304955275472552,1.920000000000001,0.0003087351406084024
1.980000000000001,0.0002426512582426794,1.980000000000001,0.0003252513098878861
2.040000000000001,0.0002543838017289883,2.040000000000001,0.0003415006483197434
2.100000000000001,0.0002657098311130403,2.100000000000001,0.000357543900291126
2.160000000000001,0.0002766629462600721,2.160000000000001,0.0003734424244389285
2.220000000000002,0.0002872872682218703,2.220000000000002,0.0003892520532335869
2.280000000000002,0.0002976317964440546,2.280000000000002,0.0004050198069135903
2.340000000000002,0.0003077460532814733,2.340000000000002,0.0004207826735484868
2.400000000000002,0.0003176770973077091,2.400000000000002,0.0004365676874421198
2.460000000000002,0.000327467724524533,2.460000000000002,0.000452392719784851
2.520000000000002,0.0003371555760833411,2.520000000000002,0.0004682675931522195
2.580000000000002,0.0003467728730640086,2.580000000000002,0.0004841952880952882
2.640000000000002,0.0003563465479423043,2.640000000000002,0.0005001731166094335
2.700000000000002,0.0003658986028650613,2.700000000000002,0.0005161938029168536
2.760000000000002,0.0003754465791098476,2.760000000000002,0.0005322464493519227
2.820000000000002,0.0003850040641847436,2.820000000000002,0.000548317384716336
2.880000000000002,0.0003945811928963821,2.880000000000002,0.0005643909016411017
2.940000000000002,0.0004041851186216556,2.940000000000002,0.0005804498929521125
3,0.0004138204436065798,3,0.0005964763975979418
