/out (vbias=5) X,/out (vbias=5) Y,/out (vbias=6) X,/out (vbias=6) Y,/out (vbias=7) X,/out (vbias=7) Y,/out (vbias=8) X,/out (vbias=8) Y,/out (vbias=9) X,/out (vbias=9) Y,/out (vbias=10) X,/out (vbias=10) Y,/out (vbias=11) X,/out (vbias=11) Y,/out (vbias=12) X,/out (vbias=12) Y
0,4.95041051692836,0,4.999997832491696,0,4.999999362302648,0,4.999999654000728,0,4.999999769683565,0,4.999999830240426,0,4.999999867030187,0,4.999999891503402
0.1,4.79566144580746,0.1,4.999982355889642,0.1,4.999995317523836,0.1,4.999997524191331,0.1,4.999998370524978,0.1,4.999998806591904,0.1,4.999999068827426,0.1,4.999999242335717
0.2,4.605343858518318,0.2,4.999834501089565,0.2,4.999962092687818,0.2,4.999980621104035,0.2,4.999987426154945,0.2,4.999990862912278,0.2,4.999992905759401,0.2,4.999994247261159
0.3,4.409845806565831,0.3,4.998469706101176,0.3,4.999711730229257,0.3,4.999858255003163,0.3,4.999909476691518,0.3,4.999934779310085,0.3,4.999949631038396,0.3,4.999959304597796
0.4,4.21302086887043,0.4,4.987945389646881,0.4,4.998288294577306,0.4,4.999197494311752,0.4,4.999497015167506,0.4,4.999641193459861,0.4,4.999724598409588,0.4,4.999778418144318
0.5,4.01834409947899,0.5,4.928539589836022,0.5,4.993637140796564,0.5,4.99719098161153,0.5,4.998277943406393,0.5,4.998785677840432,0.5,4.999074536634958,0.5,4.999258960665832
0.6,3.833810063839408,0.6,4.775870913424574,0.6,4.984059238016573,0.6,4.993409456367456,0.6,4.996058661432687,0.6,4.997255894197845,0.6,4.997924790805641,0.6,4.99834698130983
0.7,3.655997700961136,0.7,4.596608342374601,0.7,4.967076869885629,0.7,4.987306144116157,0.7,4.992592786767982,0.7,4.994906296673262,0.7,4.996176504499946,0.7,4.996969475929124
0.7999999999999999,3.478439162255003,0.7999999999999999,4.413251109195081,0.7999999999999999,4.937764596212229,0.7999999999999999,4.977819933064268,0.7999999999999999,4.987384193264663,0.7999999999999999,4.991434069321857,0.7999999999999999,4.993618694219204,0.7999999999999999,4.994967532569893
0.8999999999999999,3.301879024098374,0.8999999999999999,4.229903718947329,0.8999999999999999,4.888036540871357,0.8999999999999999,4.96369850681203,0.8999999999999999,4.979902935234064,0.8999999999999999,4.986533226169849,0.8999999999999999,4.990045799515165,0.8999999999999999,4.992190285724612
0.9999999999999999,3.128308103557985,0.9999999999999999,4.049015848723322,0.9999999999999999,4.806227671398887,0.9999999999999999,4.943527572265053,0.9999999999999999,4.969621314538605,0.9999999999999999,4.979919092896591,0.9999999999999999,4.985275194272702,0.9999999999999999,4.988508179895904
1.1,2.958844904151238,1.1,3.871729434605967,1.1,4.686512948469147,1.1,4.915623917581864,1.1,4.955992566010006,1.1,4.971314884073735,1.1,4.979136670504588,1.1,4.983804241432243
1.2,2.793973339681001,1.2,3.698543600562784,1.2,4.540003718640799,1.2,4.877880691111266,1.2,4.938429938021223,1.2,4.96044074966706,1.2,4.971464150798806,1.2,4.977967272647163
1.3,2.633910270984802,1.3,3.529672859810203,1.3,4.38128275375394,1.3,4.827626075180059,1.3,4.916287805880534,1.3,4.947007416490379,1.3,4.962091274184413,1.3,4.9708882391191
1.4,2.478784464724338,1.4,3.365211341482154,1.4,4.218977052155275,1.4,4.761760145209262,1.4,4.88884104761695,1.4,4.930712376387483,1.4,4.950849380161744,1.4,4.962458646843464
1.5,2.328710606826783,1.5,3.205206787393564,1.5,4.057019435087382,1.5,4.677691528896321,1.5,4.855261930783111,1.5,4.911236840346819,1.5,4.937566673295033,1.5,4.952569950595002
1.6,2.183818455604017,1.6,3.049694526896823,1.6,3.897170728913451,1.6,4.575088890000876,1.6,4.814601721937636,1.6,4.888242389726591,1.6,4.922067837441674,1.6,4.941113444127106
1.7,2.044262568447539,1.7,2.898713275816474,1.7,3.740283010835834,1.7,4.456802463509358,1.7,4.765798283048146,1.7,4.86136699291797,1.7,4.904173701774602,1.7,4.927980347999995
1.8,1.910222419210915,1.8,2.752312294938695,1.8,3.586805735436104,1.8,4.327564277622859,1.8,4.707748549929249,1.8,4.830220932577088,1.8,4.883700761402616,1.8,4.913061948863616
1.900000000000001,1.78189643015587,1.900000000000001,2.61055408273846,1.900000000000001,3.436997304573804,1.900000000000001,4.19195647412405,1.900000000000001,4.639489922045272,1.900000000000001,4.794384381920841,1.900000000000001,4.860460499358525,1.900000000000001,4.896249712227714
2,1.65949109698248,2,2.473514401826121,2,3.291020837518799,2,4.053417102983714,2,4.560492652777452,2,4.753409937504901,2,4.834258600284035,2,4.877435329364198
2.100000000000001,1.543205848006485,2.100000000000001,2.341280381682307,2.100000000000001,3.148990609020819,2.100000000000001,3.914234902392426,2.100000000000001,4.47095948884046,2.100000000000001,4.706835110801431,2.100000000000001,4.804894319662956,2.100000000000001,4.85651068913128
2.200000000000001,1.43321468357337,2.200000000000001,2.213946990647133,2.200000000000001,3.010995655073839,2.200000000000001,3.775871512720324,2.200000000000001,4.371941627064095,2.200000000000001,4.654210759409237,2.200000000000001,4.77216048511234,2.200000000000001,4.833367796882616
2.300000000000001,1.329646503371381,2.300000000000001,2.091612024710309,2.300000000000001,2.877111940359543,2.300000000000001,3.639260506196888,2.300000000000001,4.265158514757776,2.300000000000001,4.595150049127155,2.300000000000001,4.735844845453393,2.300000000000001,4.80789869903087
