/out (width_pun_M0=5e-06) X,/out (width_pun_M0=5e-06) Y,/out (width_pun_M0=1e-05) X,/out (width_pun_M0=1e-05) Y
0,2.999996932590493,0,2.99999689860378
0.06,2.999989364932432,0.06,2.99998921633266
0.12,2.999962829353798,0.12,2.999962207659864
0.18,2.999870946265287,0.18,2.999868640934275
0.24,2.999561179243475,0.24,2.999552696324624
0.3,2.998574374392015,0.3,2.998542742176426
0.36,2.995779228438523,0.36,2.99565848752763
0.42,2.989301225841756,0.42,2.988850600537612
0.48,2.977585635427927,0.48,2.976212847406833
0.54,2.960267455914587,0.54,2.957150797245574
0.6000000000000001,2.937137375400808,0.6000000000000001,2.931271707935406
0.6600000000000001,2.907269580425642,0.6600000000000001,2.897249830223411
0.7200000000000002,2.869326119388712,0.7200000000000002,2.853159545664773
0.7800000000000002,2.82198841607028,0.7800000000000002,2.79696119492688
0.8400000000000003,2.764158321879687,0.8400000000000003,2.726826397269557
0.9000000000000004,2.695092122674191,0.9000000000000004,2.641540542523687
0.9600000000000004,2.614571304061721,0.9600000000000004,2.541032071334086
1.02,2.523071374637941,1.02,2.426716362170283
1.080000000000001,2.42180961298889,1.080000000000001,2.301290075048532
1.140000000000001,2.312596611972568,1.140000000000001,2.168061747042697
1.200000000000001,2.197548412070195,1.200000000000001,2.030277153201909
1.260000000000001,2.078796798550833,1.260000000000001,1.890751326356435
1.320000000000001,1.95829839850808,1.320000000000001,1.75179716171398
1.380000000000001,1.837758313566195,1.380000000000001,1.615305714712786
1.440000000000001,1.718631688247805,1.440000000000001,1.48286026579314
1.500000000000001,1.602159117859926,1.500000000000001,1.355824898828506
1.560000000000001,1.489404992039336,1.560000000000001,1.235385949503242
1.620000000000001,1.381282668423487,1.620000000000001,1.122543955250739
1.680000000000001,1.278561049332054,1.680000000000001,1.018067328221323
1.740000000000001,1.181854478380497,1.740000000000001,0.92243190168027
1.800000000000001,1.091603268246785,1.800000000000001,0.8357781124273663
1.860000000000001,1.008055453421225,1.860000000000001,0.7579118819954694
1.920000000000001,0.9312602725363202,1.920000000000001,0.6883557986641534
1.980000000000001,0.8610798323170754,1.980000000000001,0.6264352857957788
2.040000000000001,0.7972188834351022,2.040000000000001,0.5713736214614901
2.100000000000001,0.7392667421890007,2.100000000000001,0.5223734914477901
2.160000000000001,0.686742706344541,2.160000000000001,0.478674250972477
2.220000000000002,0.6391372592662704,2.220000000000002,0.4395846157115018
2.280000000000002,0.5959444392147218,2.280000000000002,0.4044961569865265
2.340000000000002,0.5566840416577884,2.340000000000002,0.3728842438891989
2.400000000000002,0.5209146306946429,2.400000000000002,0.3443020145135522
2.460000000000002,0.4882394154104392,2.460000000000002,0.3183712438509424
2.520000000000002,0.4583072070542875,2.520000000000002,0.294772448429842
2.580000000000002,0.4308103460276225,2.580000000000002,0.2732354753821054
2.640000000000002,0.4054810040514502,2.640000000000002,0.2535311370306904
2.700000000000002,0.3820868088875572,2.700000000000002,0.2354640610364928
2.760000000000002,0.3604263774573528,2.760000000000002,0.2188667243772926
2.820000000000002,0.340325086967335,2.820000000000002,0.2035945488837974
2.880000000000002,0.3216312455786495,2.880000000000002,0.1895219062552334
2.940000000000002,0.3042127209805659,2.940000000000002,0.1765388812885787
3,0.2879540261245574,3,0.1645486565453711
