/Z (w01=3e-05) X,/Z (w01=3e-05) Y,/Z (w01=4e-05) X,/Z (w01=4e-05) Y,/Z (w01=5e-05) X,/Z (w01=5e-05) Y,/w_A (w01=3e-05) X,/w_A (w01=3e-05) Y,/w_A (w01=4e-05) X,/w_A (w01=4e-05) Y,/w_A (w01=5e-05) X,/w_A (w01=5e-05) Y,/w_B (w01=3e-05) X,/w_B (w01=3e-05) Y,/w_B (w01=4e-05) X,/w_B (w01=4e-05) Y,/w_B (w01=5e-05) X,/w_B (w01=5e-05) Y
0,2.999998054655015,0,2.99999741821917,0,2.999996781792693,0,0,0,0,0,0,0,0,0,0,0,0
1.5625e-10,3.151308056701995,1.5625e-10,3.158590624179885,1.5625e-10,3.163433528770542,1.5625e-10,0.09375000000000001,1.5625e-10,0.09375000000000001,1.5625e-10,0.09375000000000001,1.5625e-10,0.1875,1.5625e-10,0.1875,1.5625e-10,0.1875
3.889272638539987e-10,3.32347525648267,3.889272638539987e-10,3.348894251957072,3.889272638539987e-10,3.366674839727851,3.889272638539987e-10,0.2333563583123992,3.889272638539987e-10,0.2333563583123992,3.889272638539987e-10,0.2333563583123992,3.889272638539987e-10,0.4667127166247984,3.889272638539987e-10,0.4667127166247984,3.889272638539987e-10,0.4667127166247984
7.696191393063003e-10,3.558951550399766,7.794746403255435e-10,3.624954690111632,7.882752058051953e-10,3.6749535422056,7.696191393063003e-10,0.4617714835837801,7.794746403255435e-10,0.4676847841953261,7.882752058051953e-10,0.4729651234831172,7.696191393063003e-10,0.9235429671675602,7.794746403255435e-10,0.9353695683906522,7.882752058051953e-10,0.9459302469662344
1.078109373816237e-09,3.688037415479376,1.107430194302428e-09,3.794467956555243,1.134415598434971e-09,3.880245143663539,1.078109373816237e-09,0.6468656242897425,1.107430194302428e-09,0.664458116581457,1.134415598434971e-09,0.6806493590609825,1.078109373816237e-09,1.293731248579485,1.107430194302428e-09,1.328916233162914,1.134415598434971e-09,1.361298718121965
1.612554327146417e-09,3.815315284611585,1.660704215085247e-09,3.976105787652425,1.70925328683684e-09,4.111350440563228,1.612554327146417e-09,0.9675325962878504,1.660704215085247e-09,0.9964225290511484,1.70925328683684e-09,1.025551972102104,1.612554327146417e-09,1.935065192575701,1.660704215085247e-09,1.992845058102297,1.70925328683684e-09,2.051103944204208
2.056277163573209e-09,3.853635189297192,2.080352107542624e-09,4.043506512701435,2.5e-09,4.225435170985794,2.056277163573209e-09,1.233766298143925,2.080352107542624e-09,1.248211264525574,2.5e-09,1.5,2.056277163573209e-09,2.46753259628785,2.080352107542624e-09,2.496422529051148,2.5e-09,3
2.5e-09,3.850233651095636,2.5e-09,4.062256476576458,2.642943518794919e-09,4.080156039719216,2.5e-09,1.5,2.5e-09,1.5,2.642943518794919e-09,1.585766111276951,2.5e-09,3,2.5e-09,3,2.642943518794919e-09,3
2.652798829666725e-09,3.702801294201189,2.650593283083247e-09,3.912841720536718,2.914046544775842e-09,3.825532888617557,2.652798829666725e-09,1.591679297800035,2.650593283083247e-09,1.590355969849948,2.914046544775842e-09,1.748427926865505,2.652798829666725e-09,3,2.650593283083247e-09,3,2.914046544775842e-09,3
2.858212376959507e-09,3.524180316499861,2.850162043215118e-09,3.729459408861205,3.156821564749943e-09,3.624835592903494,2.858212376959507e-09,1.714927426175704,2.850162043215118e-09,1.710097225929071,3.156821564749943e-09,1.894092938849966,2.858212376959507e-09,3,2.850162043215118e-09,3,3.156821564749943e-09,3
3.046561542617056e-09,3.388163643709062,3.03368548858534e-09,3.581968861747141,3.642371604698145e-09,3.255032496752343,3.046561542617056e-09,1.827936925570234,3.03368548858534e-09,1.820211293151204,3.642371604698145e-09,2.185422962818887,3.046561542617056e-09,3,3.03368548858534e-09,3,3.642371604698145e-09,3
3.423259873932152e-09,3.161487396495526,3.400732379325786e-09,3.323558742635847,4.150063147754049e-09,2.854205428522135,3.423259873932152e-09,2.053955924359291,3.400732379325786e-09,2.040439427595471,4.150063147754049e-09,2.490037888652429,3.423259873932152e-09,3,3.400732379325786e-09,3,4.150063147754049e-09,3
3.854269589785672e-09,2.924377307870777,3.873665880804799e-09,3.009388593510132,4.575031573877025e-09,2.477144886595572,3.854269589785672e-09,2.312561753871403,3.873665880804799e-09,2.324199528482879,4.575031573877025e-09,2.745018944326215,3.854269589785672e-09,3,3.873665880804799e-09,3,4.575031573877025e-09,3
